encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
hilbert-pca4-b15,2,400,1,0.4895,0.0193,0.05,0.05,0.05,0.05,5.21
hilbert-pca4-b15,3,1,0,0.024,0.0044,0.00066,0.00038,0.00201,0.003,1.0
hilbert-pca4-b15,3,2,0,0.045,0.0069,0.00132,0.00088,0.00363,0.0065,1.76
hilbert-pca4-b15,3,4,0,0.071,0.0088,0.00244,0.00175,0.00675,0.0115,3.19
hilbert-pca4-b15,3,8,0,0.107,0.0104,0.00455,0.0035,0.01189,0.017,5.33
hilbert-pca4-b15,3,16,0,0.1645,0.0137,0.00818,0.00688,0.01888,0.0235,8.41
hilbert-pca4-b15,3,32,0,0.2535,0.0166,0.01459,0.01275,0.03091,0.03837,13.12
hilbert-pca4-b15,3,64,0,0.3715,0.0193,0.02618,0.02513,0.04864,0.05563,21.88
hilbert-pca4-b15,3,40,1,0.115,0.0093,0.005,0.005,0.005,0.005,7.51
hilbert-pca4-b15,3,80,1,0.191,0.0124,0.01,0.01,0.01,0.01,12.58
hilbert-pca4-b15,3,160,1,0.3115,0.0169,0.02,0.02,0.02,0.02,21.55
hilbert-pca4-b15,3,400,1,0.5235,0.0194,0.04929,0.05,0.05,0.05,45.41
hilbert-pca4-b15,4,1,0,0.003,0.0014,6e-05,0.0,0.00038,0.00063,1.0
hilbert-pca4-b15,4,2,0,0.007,0.0024,0.00011,0.0,0.0005,0.001,1.74
hilbert-pca4-b15,4,4,0,0.0125,0.003,0.00021,0.00013,0.00076,0.00125,3.06
hilbert-pca4-b15,4,8,0,0.0195,0.0039,0.00041,0.00025,0.0015,0.002,5.17
hilbert-pca4-b15,4,16,0,0.032,0.0052,0.00074,0.0005,0.00251,0.00337,8.73
hilbert-pca4-b15,4,32,0,0.0485,0.0066,0.00139,0.001,0.00414,0.00688,14.16
hilbert-pca4-b15,4,64,0,0.0755,0.0094,0.00258,0.00194,0.00763,0.01188,23.63
hilbert-pca4-b15,4,40,1,0.111,0.0096,0.00441,0.005,0.005,0.005,23.32
hilbert-pca4-b15,4,80,1,0.1595,0.0123,0.00674,0.00681,0.01,0.01,33.24
hilbert-pca4-b15,4,160,1,0.1805,0.0138,0.00826,0.00681,0.01963,0.02,38.47
hilbert-pca4-b15,4,400,1,0.182,0.014,0.00841,0.00681,0.01963,0.02612,38.96
hilbert-pca4-b15,5,1,0,0.0005,0.0005,1e-05,0.0,0.0,0.00013,1.0
hilbert-pca4-b15,5,2,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00025,1.69
hilbert-pca4-b15,5,4,0,0.001,0.0007,2e-05,0.0,0.00013,0.00025,3.08
hilbert-pca4-b15,5,8,0,0.0025,0.0013,3e-05,0.0,0.00013,0.0005,5.31
hilbert-pca4-b15,5,16,0,0.004,0.0016,6e-05,0.0,0.00025,0.00075,9.19
hilbert-pca4-b15,5,32,0,0.008,0.0024,0.00011,0.0,0.00038,0.001,15.52
hilbert-pca4-b15,5,64,0,0.013,0.003,0.00022,0.00013,0.00088,0.00137,24.07
hilbert-pca4-b15,5,40,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.55
hilbert-pca4-b15,5,80,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.55
